subID,Aprime_A,Aprime_B,Aprime_X,HR_A,HR_B,HR_X,FA_A,FA_B,FA_X
82,0.6907589459730727,0.5800492610837439,0.5193687423687423,0.20967741935483872,0.1111111111111111,0.10317460317460317,0.07936507936507936,0.07936507936507936,0.096
83,0.7058409570724842,0.6353679450240228,0.5975830581745368,0.7777777777777778,0.6825396825396826,0.6031746031746031,0.5396825396825397,0.532258064516129,0.496
84,0.46832358674463936,0.6274586939417781,0.4919457128361237,0.5714285714285714,0.6507936507936508,0.5714285714285714,0.6031746031746031,0.5079365079365079,0.5793650793650794
85,0.6003276003276004,0.6128775834658188,0.5812661777394305,0.5238095238095238,0.5396825396825397,0.6031746031746031,0.4126984126984127,0.4126984126984127,0.5158730158730159
86,0.6885536392486301,0.7680216802168022,0.6195887445887447,0.6507936507936508,0.7142857142857143,0.6111111111111112,0.41935483870967744,0.3492063492063492,0.47619047619047616
87,0.7025641025641025,0.713032581453634,0.7418414918414918,0.6349206349206349,0.6031746031746031,0.6984126984126984,0.38095238095238093,0.3333333333333333,0.38095238095238093
88,0.5735930735930737,0.5482926829268293,0.6572431633407243,0.5238095238095238,0.3968253968253968,0.528,0.4444444444444444,0.3492063492063492,0.344
89,0.7266666666666667,0.6013234077750207,0.614956486541186,0.47619047619047616,0.49206349206349204,0.48412698412698413,0.20634920634920634,0.38095238095238093,0.35714285714285715
90,0.6704211197176193,0.5759637188208617,0.6000652644591973,0.42857142857142855,0.2857142857142857,0.448,0.24193548387096775,0.2222222222222222,0.3412698412698413
91,0.6661224489795918,0.5181818181818181,0.555431131019037,0.7777777777777778,0.6984126984126984,0.746031746031746,0.6031746031746031,0.6825396825396826,0.6984126984126984
92,0.5461323392357875,0.5628517823639775,0.6465993357807664,0.5873015873015873,0.6507936507936508,0.608,0.5396825396825397,0.5873015873015873,0.4365079365079365
93,0.6608738828202582,0.7097701149425287,0.6114133838732614,0.30158730158730157,0.23809523809523808,0.232,0.15873015873015872,0.07936507936507936,0.15079365079365079
94,0.7552083333333333,0.6766091051805337,0.6835466349905088,0.5714285714285714,0.4126984126984127,0.464,0.23809523809523808,0.2222222222222222,0.25396825396825395
95,0.6729691876750701,0.4541666666666667,0.5236668297455969,0.5396825396825397,0.5238095238095238,0.4444444444444444,0.3333333333333333,0.5714285714285714,0.42063492063492064
96,0.4675,0.5572916666666666,0.6562246963562753,0.36507936507936506,0.2857142857142857,0.4126984126984127,0.3968253968253968,0.23809523809523808,0.24603174603174602
98,0.5884615384615385,0.5,0.6818765542847175,0.47619047619047616,0.6507936507936508,0.4126984126984127,0.38095238095238093,0.6507936507936508,0.216
100,0.5804924242424242,0.6837797619047619,0.6499907868067072,0.6984126984126984,0.7619047619047619,0.6428571428571429,0.6190476190476191,0.5555555555555556,0.46825396825396826
101,0.6153673835125448,0.5790697674418605,0.5310500438326525,0.3333333333333333,0.3968253968253968,0.296,0.22580645161290322,0.31746031746031744,0.2698412698412698
103,0.6354515050167224,0.5,0.6289634146341463,0.4126984126984127,0.49206349206349204,0.3253968253968254,0.2698412698412698,0.49206349206349204,0.20634920634920634
104,0.581975074976227,0.6285714285714286,0.5193689698101462,0.45161290322580644,0.6666666666666666,0.5396825396825397,0.36507936507936506,0.5238095238095238,0.52
105,0.6843381843381844,0.6740662438336857,0.6581303063861204,0.5967741935483871,0.6825396825396826,0.5,0.3709677419354839,0.47619047619047616,0.31746031746031744
106,0.5411469534050178,0.6286231884057971,0.5305397727272726,0.8064516129032258,0.7619047619047619,0.7619047619047619,0.7777777777777778,0.6349206349206349,0.7380952380952381
