subid	group	block	blocktrial	trial	img	category	ABX	TR	onset	encoded	rt	recogIdx	recogAcc	recogConf
39	0	3	14	182	deserts49.jpg	deserts	B	49	73.510389	1	0.780453681945801	452	0	4
39	0	3	15	183	waterfalls35.jpg	waterfalls	A	53	79.51027	1	0.45354962348938	333	1	4
39	0	3	16	184	bridges28.jpg	bridges	B	56	84.010176	1	0.59565281867981	466	0	4
39	0	3	17	185	lakes5.jpg	lakes	X	58	87.010144	1	0.516706705093384	58	0	1
39	0	3	18	186	forests24.jpg	forests	X	60	90.010183	1	0.78177285194397	346	1	3
39	0	3	19	187	lighthouses29.jpg	lighthouses	A	62	93.010061	1	0.66879677772522	465	0	1
39	0	3	20	188	canyons47.jpg	canyons	B	64	96.010029	1	0.542835474014282	24	0	3
39	0	3	21	189	beaches50.jpg	beaches	X	66	99.009981	1	0.773911952972412	485	0	4
39	0	3	22	190	lighthouses27.jpg	lighthouses	A	70	105.009908	1	0.735995531082153	490	0	1
39	0	3	23	191	canyons29.jpg	canyons	B	73	109.509845	1	0.675101518630981	426	1	3
39	0	3	24	192	mountains31.jpg	mountains	X	75	112.559803	1	0.481151580810547	22	0	3
39	0	3	25	193	fields55.jpg	fields	X	78	117.009744	1	0.538196563720703	202	0	3
39	0	3	26	194	parks17.jpg	parks	X	81	121.509682	1	0.691271543502808	372	0	1
39	0	3	27	195	mountains1.jpg	mountains	X	84	126.009629	1	0.6014564037323	97	0	1
39	0	3	28	196	waterfalls56.jpg	waterfalls	A	86	129.026371	1	0.688732862472534	284	0	1
39	0	3	29	197	bridges48.jpg	bridges	B	89	133.509556	1	0.587474584579468	128	1	4
39	0	3	30	198	forests27.jpg	forests	X	92	138.009521	1	0.690542459487915	308	1	1
39	0	3	31	199	beaches34.jpg	beaches	X	96	144.009362	1	0.566642761230469	184	1	4
39	0	3	32	200	lighthouses28.jpg	lighthouses	A	98	147.009333	1	0.53171443939209	405	1	4
39	0	3	33	201	canyons18.jpg	canyons	B	100	150.009342	1	0.566793441772461	54	0	3
39	0	3	34	202	waterfalls34.jpg	waterfalls	A	102	153.009281	1	0.893828392028809	503	1	1
39	0	3	35	203	bridges16.jpg	bridges	B	105	157.525952	1	0.599207878112793	190	0	1
39	0	3	36	204	parks54.jpg	parks	X	109	163.509098	1	0.687005519866943	168	0	4
39	0	3	37	205	beaches54.jpg	beaches	X	112	168.009041	1	0.697056531906128	179	1	1
