subid	trial	img	categ	cond	rep	answer	trialdur	acc	rt	resp	group	block	ITI
100	46	forests37.jpg	forests	A	32	no	1.000001	1	0.860769510269165	j	0	5	5
100	47	mountains26.jpg	mountains	B	32	no	0.99997	1	0.759859323501587	j	0	5	3.5
100	48	canyons9.jpg	canyons	B	31	no	0.999981	1	0.717937231063843	j	0	5	5
100	49	deserts10.jpg	deserts	X	31	no	1.000007	1	0.635997772216797	j	0	5	2
100	50	lakes54.jpg	lakes	X	29	yes	1	0	0.684077978134155	j	0	5	3.5
100	51	canyons50.jpg	canyons	B	32	no	0.999991	1	0.690155506134033	j	0	5	3.5
100	52	bridges51.jpg	bridges	B	32	yes	0.999986	1	0.721225500106812	k	0	5	2
100	53	parks36.jpg	parks	A	33	yes	1.000013	1	0.704282760620117	k	0	5	5
100	54	mountains23.jpg	mountains	B	33	no	0.999993	1	0.743404626846313	j	0	5	3.5
100	55	beaches8.jpg	beaches	X	32	yes	0.999877	1	0.796796798706055	k	0	5	3.5
100	56	bridges22.jpg	bridges	B	33	yes	0.99986	1	0.738473653793335	k	0	5	3.5
100	57	waterfalls20.jpg	waterfalls	X	32	no	0.999915	0	1.21387672424316	k	0	5	2
100	58	lighthouses35.jpg	lighthouses	X	33	yes	0.999859	1	0.693980693817139	k	0	5	2
100	59	lakes39.jpg	lakes	X	30	yes	0.999924	1	0.699005603790283	k	0	5	2
100	60	waterfalls25.jpg	waterfalls	X	33	no	1.00005	1	1.06211757659912	j	0	5	2
100	61	forests28.jpg	forests	A	33	no	0.999988	1	0.768817663192749	j	0	5	3.5
100	62	lakes3.jpg	lakes	X	31	yes	1	1	0.815899610519409	k	0	5	3.5
100	63	deserts7.jpg	deserts	X	32	no	1.000016	1	0.696020841598511	j	0	5	3.5
100	64	marshes40.jpg	marshes	X	32	no	0.999987	1	0.817073583602905	j	0	5	2
100	65	canyons55.jpg	canyons	B	33	no	0.999991	1	0.827453851699829	j	0	5	3.5
100	66	fields53.jpg	fields	A	33	yes	0.999954	1	0.696147680282593	k	0	5	3.5
100	67	lakes45.jpg	lakes	X	32	yes	1.000039	1	0.708178758621216	k	0	5	3.5
100	68	beaches50.jpg	beaches	X	33	yes	1.000012	1	0.650298833847046	k	0	5	3.5
100	69	bridges35.jpg	bridges	B	34	yes	0.999997	1	0.636422395706177	k	0	5	2
100	70	parks41.jpg	parks	A	34	yes	0.999949	1	0.620471239089966	k	0	5	3.5
100	71	beaches40.jpg	beaches	X	34	yes	0.999927	1	0.672800064086914	k	0	5	5
100	72	lighthouses12.jpg	lighthouses	X	34	yes	0.99988	1	0.582008600234985	k	0	5	5
100	73	deserts32.jpg	deserts	X	33	no	0.999829	1	0.770063638687134	j	0	5	2
100	74	marshes43.jpg	marshes	X	33	no	0.999952	1	0.87104868888855	j	0	5	3.5
100	75	canyons21.jpg	canyons	B	34	no	0.999908	1	0.796177864074707	j	0	5	2
100	76	lakes18.jpg	lakes	X	33	yes	0.999926	1	0.720202684402466	k	0	5	5
100	77	fields11.jpg	fields	A	34	yes	0.999886	1	0.721280813217163	k	0	5	3.5
