subID	trial	probed	truepair	foilpair	sideorder	cond	rt	resp	acc	left	right	group
50	11	parks	waterfalls	lighthouses	1	B	-1.04053092002869	j	1	lighthouses	waterfalls	1
51	0	marshes	deserts	canyons	0	A	NaN	MISSING	NaN	deserts	canyons	0
51	1	fields	canyons	bridges	1	A	2.23303508758545	f	0	bridges	canyons	0
51	2	waterfalls	bridges	deserts	0	A	1.57714986801147	f	1	bridges	deserts	0
51	3	canyons	fields	marshes	0	B	2.15848469734192	j	0	fields	marshes	0
51	4	deserts	marshes	waterfalls	1	B	2.40618896484375	f	0	waterfalls	marshes	0
51	5	bridges	waterfalls	fields	1	B	1.68632078170776	f	0	fields	waterfalls	0
51	6	canyons	fields	marshes	1	B	2.02222371101379	j	1	marshes	fields	0
51	7	waterfalls	bridges	deserts	1	A	2.36421489715576	j	1	deserts	bridges	0
51	8	deserts	marshes	waterfalls	0	B	3.49960875511169	j	0	marshes	waterfalls	0
51	9	bridges	waterfalls	fields	0	B	3.90073394775391	j	0	waterfalls	fields	0
51	10	fields	canyons	bridges	1	A	1.25757169723511	f	0	bridges	canyons	0
51	11	marshes	deserts	canyons	0	A	3.23527193069458	j	0	deserts	canyons	0
52	0	mountains	lighthouses	parks	1	A	NaN	MISSING	NaN	parks	lighthouses	0
52	1	fields	deserts	lakes	0	B	NaN	MISSING	NaN	deserts	lakes	0
52	2	deserts	fields	lighthouses	0	A	3.01482009887695	f	1	fields	lighthouses	0
52	3	lakes	parks	fields	0	A	2.03789496421814	j	0	parks	fields	0
52	4	lighthouses	mountains	deserts	1	B	2.08887696266174	f	0	deserts	mountains	0
52	5	parks	lakes	mountains	0	B	3.75725913047791	f	1	lakes	mountains	0
52	6	lakes	parks	fields	1	A	1.75890588760376	f	0	fields	parks	0
52	7	deserts	fields	lighthouses	1	A	1.09624695777893	j	1	lighthouses	fields	0
52	8	parks	lakes	mountains	1	B	1.7363429069519	f	0	mountains	lakes	0
52	9	fields	deserts	lakes	1	B	1.58425712585449	j	1	lakes	deserts	0
52	10	lighthouses	mountains	deserts	0	B	1.4571647644043	j	0	mountains	deserts	0
52	11	mountains	lighthouses	parks	0	A	1.06099581718445	f	1	lighthouses	parks	0
53	0	bridges	parks	lakes	0	B	1.76166796684265	j	0	parks	lakes	0
53	1	lighthouses	fields	parks	0	B	3.10906600952148	f	1	fields	parks	0
53	2	fields	lighthouses	waterfalls	1	A	1.86599087715149	j	1	waterfalls	lighthouses	0
53	3	waterfalls	lakes	fields	1	B	1.17064690589905	j	1	fields	lakes	0
53	4	lakes	waterfalls	bridges	1	A	1.64262199401855	f	0	bridges	waterfalls	0
53	5	parks	bridges	lighthouses	1	A	2.65084719657898	f	0	lighthouses	bridges	0
53	6	bridges	parks	lakes	1	B	1.49782872200012	f	0	lakes	parks	0
53	7	lakes	waterfalls	bridges	0	A	1.18080997467041	j	0	waterfalls	bridges	0
53	8	lighthouses	fields	parks	0	B	2.74913692474365	f	1	fields	parks	0
53	9	fields	lighthouses	waterfalls	1	A	2.72447896003723	j	1	waterfalls	lighthouses	0
53	10	waterfalls	lakes	fields	0	B	1.76845288276672	f	1	lakes	fields	0
53	11	parks	bridges	lighthouses	0	A	3.23493909835815	f	1	bridges	lighthouses	0
54	0	fields	lakes	deserts	0	B	1.83636498451233	f	1	lakes	deserts	1
54	1	lakes	fields	lighthouses	0	A	2.04445815086365	f	1	fields	lighthouses	1
54	2	lighthouses	bridges	lakes	0	B	2.41031289100647	f	1	bridges	lakes	1
54	3	canyons	deserts	bridges	1	B	1.18595886230469	j	1	bridges	deserts	1
54	4	deserts	canyons	fields	1	A	0.854393005371094	j	1	fields	canyons	1
54	5	bridges	lighthouses	canyons	1	A	2.1316978931427	j	1	canyons	lighthouses	1
54	6	lighthouses	bridges	lakes	1	B	2.04666209220886	f	0	lakes	bridges	1
54	7	canyons	deserts	bridges	1	B	0.822628021240234	j	1	bridges	deserts	1
54	8	fields	lakes	deserts	0	B	2.88336086273193	f	1	lakes	deserts	1
54	9	deserts	canyons	fields	0	A	0.96016001701355	f	1	canyons	fields	1
54	10	lakes	fields	lighthouses	0	A	-1.0375030040741	f	1	fields	lighthouses	1
54	11	bridges	lighthouses	canyons	1	A	3.11735200881958	j	1	canyons	lighthouses	1
55	0	forests	marshes	parks	1	B	NaN	MISSING	NaN	parks	marshes	1
55	1	canyons	lakes	mountains	0	A	2.51831293106079	j	0	lakes	mountains	1
55	2	parks	mountains	forests	0	A	2.91392087936401	j	0	mountains	forests	1
